days_ahead,n_forecasts,rmse,sample
475,14,0.4305996649192521,Full sample
476,15,0.48259886724552786,Full sample
477,15,0.49729099462320103,Full sample
480,15,0.49762268169099083,Full sample
481,14,0.5170469030948741,Full sample
482,15,0.5106286974570331,Full sample
483,15,0.518714757839026,Full sample
484,15,0.5200817243472409,Full sample
487,15,0.5546440299868012,Full sample
488,15,0.5589931424743353,Full sample
489,15,0.5351308251259684,Full sample
490,15,0.4865045392045856,Full sample
491,16,0.4891159116201403,Full sample
494,15,0.4961367419035471,Full sample
495,15,0.5191804439049422,Full sample
496,15,0.5424819505445927,Full sample
497,15,0.550040907569609,Full sample
498,15,0.5922077338231913,Full sample
501,15,0.5725061862838977,Full sample
502,14,0.5294319732370855,Full sample
503,16,0.5790145183844697,Full sample
504,15,0.5582114294781144,Full sample
505,12,0.5611520887127357,Full sample
508,15,0.566937680290641,Full sample
509,15,0.5068497476241516,Full sample
510,14,0.5643184891024365,Full sample
511,11,0.5050652523099451,Full sample
512,12,0.5912997688708039,Full sample
515,13,0.5677946060111738,Full sample
516,13,0.5482366838678903,Full sample
517,12,0.5020520391353871,Full sample
518,12,0.5466831806448773,Full sample
519,11,0.5736149326064404,Full sample
522,10,0.5721691183557536,Full sample
523,9,0.5176120383281506,Full sample
524,7,0.5445017381580555,Full sample
525,7,0.5732831511814827,Full sample
526,7,0.5715205283152255,Full sample
529,6,0.6261888692718831,Full sample
530,5,0.7157932662438229,Full sample
531,5,0.7364034220452804,Full sample
532,3,0.790189850605536,Full sample
533,3,0.7962882643867111,Full sample
536,3,0.8030826026422605,Full sample
537,1,1.2999999999999998,Full sample
538,1,1.2199999999999998,Full sample
539,1,1.0949999999999998,Full sample
1,14,0.06690878652528084,Starting in 2001
4,12,0.068526150726077,Starting in 2001
5,15,0.08020806277010693,Starting in 2001
6,15,0.08035338615557344,Starting in 2001
7,14,0.08275393818855006,Starting in 2001
8,15,0.08247221754425366,Starting in 2001
11,14,0.07244456008365517,Starting in 2001
12,15,0.08653515663205077,Starting in 2001
13,15,0.08645808232895394,Starting in 2001
14,15,0.08751190395216749,Starting in 2001
15,16,0.08491723912139379,Starting in 2001
18,13,0.07855669192470986,Starting in 2001
19,16,0.08657547285461326,Starting in 2001
20,16,0.08438194415868702,Starting in 2001
21,16,0.07817248556877415,Starting in 2001
22,15,0.08308630051538811,Starting in 2001
25,13,0.07006864765796195,Starting in 2001
26,14,0.07763237542601577,Starting in 2001
27,16,0.0798827265433528,Starting in 2001
28,16,0.08225341938181155,Starting in 2001
29,14,0.08147085368400167,Starting in 2001
32,10,0.06612488185244551,Starting in 2001
33,14,0.08770893422484012,Starting in 2001
34,15,0.08460693430998092,Starting in 2001
35,16,0.0823768019529785,Starting in 2001
36,13,0.08891439270876922,Starting in 2001
39,11,0.06941312425025843,Starting in 2001
40,16,0.08377798040058104,Starting in 2001
41,15,0.08273451516749106,Starting in 2001
42,14,0.08794275735629711,Starting in 2001
43,13,0.10710347261482099,Starting in 2001
46,12,0.10051948401512512,Starting in 2001
47,15,0.11488399946612904,Starting in 2001
48,14,0.11333420868009465,Starting in 2001
49,14,0.1229692179833185,Starting in 2001
50,15,0.11568635759385672,Starting in 2001
53,14,0.11162756955929205,Starting in 2001
54,14,0.11177145048203214,Starting in 2001
55,14,0.11235307866593705,Starting in 2001
56,15,0.11039323650779932,Starting in 2001
57,16,0.11390785749894597,Starting in 2001
60,14,0.0982435021479049,Starting in 2001
61,15,0.1122497216032177,Starting in 2001
62,16,0.10970842036963148,Starting in 2001
63,16,0.10896530411098801,Starting in 2001
64,16,0.10955877418080397,Starting in 2001
67,11,0.095286648878767935,Starting in 2001
68,15,0.12064410470470763,Starting in 2001
69,15,0.11847643928928263,Starting in 2001
