days_ahead,rmse_quarterly,rmse_linear,rmse_loess,rmse_daily,adjustment_ratio,rmse_daily_adjusted,rmse_combined
136,NA,0.49618629947629944,0.49698971982703477,NA,0.4894710291348448,NA,0.49618629947629944
137,NA,0.49834983050777093,0.498718089893787,0.11421134255944551,0.4894710291348448,0.1866690133000396,0.1866690133000396
138,NA,0.5005133615392425,0.5004442830220965,0.17716282529545285,0.4894710291348448,0.28955801630767586,0.28955801630767586
139,NA,0.502676892570714,0.5021682962398679,0.18746428231227974,0.4894710291348448,0.3063948975997679,0.3063948975997679
140,NA,0.5048404236021855,0.5038901265750051,0.18304826321674575,0.4894710291348448,0.2991772788518891,0.2991772788518891
141,NA,0.5070039546336571,0.5056097710554127,0.1989526146024293,0.4894710291348448,0.3251716285706784,0.3251716285706784
142,NA,0.5091674856651286,0.5073272267089951,NA,0.4894710291348448,NA,0.5091674856651286
143,NA,0.5113310166966001,0.5090424905636564,NA,0.4894710291348448,NA,0.5113310166966001
144,NA,0.5134945477280717,0.510755559647301,0.12940693121372515,0.4894710291348448,0.21150494883009674,0.21150494883009674
145,NA,0.5156580787595432,0.5124664309878334,0.22064154710229195,0.4894710291348448,0.36062039870638757,0.36062039870638757
146,NA,0.5178216097910147,0.5141751016131577,0.18672936872077128,0.4894710291348448,0.3051937419884829,0.3051937419884829
147,NA,0.5199851408224863,0.5158815685511784,0.18259244234086247,0.4894710291348448,0.29843227725015764,0.29843227725015764
148,NA,0.5221486718539577,0.5175858288297999,0.18486481547336378,0.4894710291348448,0.30214628359127704,0.30214628359127704
149,NA,0.5243122028854292,0.5192878794769261,NA,0.4894710291348448,NA,0.5243122028854292
150,NA,0.5264757339169008,0.5209877175204619,NA,0.4894710291348448,NA,0.5264757339169008
151,NA,0.5286392649483723,0.5226853399883112,0.14311583719890342,0.4894710291348448,0.23391102423669913,0.23391102423669913
152,NA,0.5308027959798438,0.5243807439083786,0.20078751206188272,0.4894710291348448,0.32817061703003075,0.32817061703003075
153,NA,0.5329663270113154,0.5260739263085684,0.21156953151781338,0.4894710291348448,0.3457929379669626,0.3457929379669626
154,NA,0.5351298580427869,0.5277648842167848,0.20988091861815505,0.4894710291348448,0.3430330395474087,0.3430330395474087
155,NA,0.5372933890742584,0.5294536146609321,0.22219431248346655,0.4894710291348448,0.36315826556877434,0.36315826556877434
156,NA,0.53945692010573,0.5311401146689148,NA,0.4894710291348448,NA,0.53945692010573
157,NA,0.5416204511372015,0.5328243812686372,NA,0.4894710291348448,NA,0.5416204511372015
158,NA,0.543783982168673,0.5345064114880034,0.17015224275420635,0.4894710291348448,0.27809979774280935,0.27809979774280935
159,NA,0.5459475132001446,0.5361862023549182,0.20586808073780397,0.4894710291348448,0.33647438722031364,0.33647438722031364
160,NA,0.548111044231616,0.5378637508972854,0.21218253597181083,0.4894710291348448,0.34679484315441517,0.34679484315441517
161,NA,0.5502745752630877,0.5395390541430097,0.25085520391918165,0.4894710291348448,0.41000212717402457,0.41000212717402457
162,NA,0.5524381062945591,0.5412121091199953,0.2122223676555645,0.4894710291348448,0.346859944754114,0.346859944754114
163,NA,0.5546016373260306,0.5428829128561465,NA,0.4894710291348448,NA,0.5546016373260306
164,NA,0.5567651683575021,0.5445514623793678,NA,0.4894710291348448,NA,0.5567651683575021
165,NA,0.5589286993889737,0.5462177547175633,0.1539538428045431,0.4894710291348448,0.2516248499146702,0.2516248499146702
166,NA,0.5610922304204452,0.5478817868986375,0.24324627438051288,0.4894710291348448,0.39756595982476545,0.39756595982476545
167,NA,0.5632557614519168,0.5495435559504945,0.246503676443172,0.4894710291348448,0.40288991465562307,0.40288991465562307
168,NA,0.5654192924833883,0.551203058901039,0.25424520644448845,0.4894710291348448,0.4155428065172719,0.4155428065172719
169,NA,0.5675828235148598,0.5528602927781752,0.234936161541812,0.4894710291348448,0.38398376624180425,0.38398376624180425
170,NA,0.5697463545463314,0.5545152546098073,NA,0.4894710291348448,NA,0.5697463545463314
171,NA,0.5719098855778029,0.5561679414238396,NA,0.4894710291348448,NA,0.5719098855778029
172,NA,0.5740734166092744,0.5578183502481765,0.217136669711345,0.4894710291348448,0.35489196587612676,0.35489196587612676
173,NA,0.576236947640746,0.5594664781107225,0.2449161664150194,0.4894710291348448,0.4002952605353029,0.4002952605353029
174,NA,0.5784004786722174,0.5611123220393819,0.27424745516898924,0.4894710291348448,0.4482348312278749,0.4482348312278749
175,NA,0.5805640097036889,0.5627558790620586,0.24167939211159248,0.4894710291348448,0.3950050200744559,0.3950050200744559
176,NA,0.5827275407351605,0.5643971462066575,0.27022070751375077,0.4894710291348448,0.4416534445217307,0.4416534445217307
177,NA,0.584891071766632,0.5660361205010825,NA,0.4894710291348448,NA,0.584891071766632
178,NA,0.5870546027981035,0.5676727989732383,NA,0.4894710291348448,NA,0.5870546027981035
179,NA,0.5892181338295751,0.5693071786510291,0.20106487344469973,0.4894710291348448,0.328623941319,0.328623941319
180,NA,0.5913816648610466,0.570939256562359,0.24103595858986143,0.4894710291348448,0.3939533810871707,0.3939533810871707
181,NA,0.5935451958925181,0.5725690297351325,0.24559451676832356,0.4894710291348448,0.40140396820203145,0.40140396820203145
182,NA,0.5957087269239897,0.574196495197254,0.22547172771768964,0.4894710291348448,0.3685149302768222,0.3685149302768222
183,0.5978722579554612,0.5978722579554612,0.5758216499766279,0.2441114184453162,0.4894710291348448,0.39897996639644345,0.39897996639644345
184,NA,0.5992529376782778,0.577444550384239,NA,0.4894710291348448,NA,0.5992529376782778
185,NA,0.6006336174010944,0.5790652559075531,NA,0.4894710291348448,NA,0.6006336174010944
186,NA,0.6020142971239111,0.5806837683391953,0.23933688152297591,0.4894710291348448,0.39117637984991477,0.39117637984991477
187,NA,0.6033949768467278,0.5823000894717906,0.28015769368934856,0.4894710291348448,0.45789462830441424,0.45789462830441424
188,NA,0.6047756565695445,0.5839142210979642,0.2942362995960907,0.4894710291348448,0.48090494772066483,0.48090494772066483
189,NA,0.6061563362923611,0.585526165010341,0.2790997432221461,0.4894710291348448,0.4561654955807514,0.4561654955807514
190,NA,0.6075370160151777,0.5871359230015462,0.25410206048526773,0.4894710291348448,0.4153088462610766,0.4153088462610766
191,NA,0.6089176957379944,0.5887434968642049,NA,0.4894710291348448,NA,0.6089176957379944
192,NA,0.610298375460811,0.5903488883909424,NA,0.4894710291348448,NA,0.610298375460811
193,NA,0.6116790551836276,0.5919520993743834,0.223207676092617,0.4894710291348448,0.36481452475280257,0.36481452475280257
194,NA,0.6130597349064443,0.5935531316071532,0.21481655859396648,0.4894710291348448,0.3510999357386465,0.3510999357386465
195,NA,0.614440414629261,0.5951519868818769,0.26403124815066964,0.4894710291348448,0.4315372840224731,0.4315372840224731
196,NA,0.6158210943520777,0.5967486669911796,0.2798269554564052,0.4894710291348448,0.45735406395922223,0.45735406395922223
197,NA,0.6172017740748943,0.5983431737276863,0.23178653972998733,0.4894710291348448,0.3788359693355943,0.3788359693355943
198,NA,0.6185824537977109,0.5999355088840221,NA,0.4894710291348448,NA,0.6185824537977109
199,NA,0.6199631335205276,0.6015256742528122,NA,0.4894710291348448,NA,0.6199631335205276
200,NA,0.6213438132433442,0.6031136716266817,0.21379507322044253,0.4894710291348448,0.3494304022010568,0.3494304022010568
201,NA,0.6227244929661608,0.6046995027982556,0.25560284133788647,0.4894710291348448,0.41776174870193633,0.41776174870193633
202,NA,0.6241051726889776,0.606283169560159,0.25506126714967947,0.4894710291348448,0.4168765903886212,0.4168765903886212
